airline ID,name,iata,icao,country,active
1,Private Flight,-,None,None,Y
2,135 Airways,None,Gnl,United States,N
3,1Time Airline,1T,Rnx,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,None,Wyt,United Kingdom,N
5,213 Flight Unit,None,Tfu,Russia,N
6,223 Flight Unit State Airline,None,Chd,Russia,N
7,224Th Flight Unit,None,Ttf,Russia,N
8,247 Jet Ltd,None,Twf,United Kingdom,N
9,3D Aviation,None,Sec,United States,N
10,40-Mile Air,Q5,Mla,United States,Y
11,4D Air,None,Qrt,Thailand,N
12,611897 Alberta Limited,None,Thd,Canada,N
13,Ansett Australia,An,Aaa,Australia,Y
14,Abacus International,1B,None,Singapore,Y
15,Abelag Aviation,W9,Aab,Belgium,N
16,Army Air Corps,None,Aac,United Kingdom,N
17,Aero Aviation Centre Ltd.,None,Aad,Canada,N
18,Aero Servicios Ejecutivos Internacionales,None,Sii,Mexico,N
19,Aero Biniza,None,Bzs,Mexico,N
20,Aero Albatros,None,Abm,Spain,N
21,Aigle Azur,Zi,Aaf,France,Y
22,Aloha Airlines,Aq,Aah,United States,Y
23,Alaska Island Air,None,Aak,United States,N
24,American Airlines,Aa,Aal,United States,Y
25,Aviation Management Corporation,None,Aam,United States,N
26,Atlantis Airlines (Usa),None,Aao,United States,N
27,Aerovista Airlines,None,Aap,United Arab Emirates,N
28,Asiana Airlines,Oz,Aar,Republic Of Korea,Y
29,Askari Aviation,4K,Aas,Pakistan,Y
30,Australia Asia Airlines,None,Aau,Australia,N
31,Astro Air International,None,Aav,United States,N
32,Afriqiyah Airways,8U,Aaw,Libya,Y
33,Afrinat International Airlines,Q9,Afu,Gambia,N
34,Afric'Air Express,None,Aax,Ivory Coast,N
35,Allegiant Air,G4,Aay,United States,Y
36,Angus Aviation,None,Aaz,Canada,N
37,Artem-Avia,None,Aba,Ukraine,N
38,African Business And Transportations,None,Abb,Democratic Republic Of The Congo,N
39,Aban Air,K5,Abe,Iran,N
40,Aerial Oy,None,Abf,Finland,N
41,Abakan-Avia,None,Abg,Russia,N
42,Absa - Aerolinhas Brasileiras,M3,Tus,Brazil,Y
43,Abaet,None,Abj,Brazil,N
44,Alberta Citylink,None,Abk,Canada,N
45,Apsa Colombia,None,Abo,Colombia,N
46,Aerovias Bueno,None,Abu,Colombia,N
47,Aerocenter,None,Acr,Aerocenter,N
48,Antrak Air,04,Abv,Ghana,N
49,Airborne Express,Gb,Abx,United States,N
50,Abx Air,Gb,Abx,United States,N
51,Ata Brasil,None,Abz,Brazil,N
52,Avcard Services,None,Acc,United Kingdom,N
53,Academy Airlines,None,Acd,United States,N
54,Aero Comondu,None,Aco,Mexico,N
55,Astral Aviation,8V,Acp,Kenya,Y
56,Air Cess,None,Acs,Liberia,N
