name,iata,icao
Aerospatiale (Sud Aviation) Se.210 Caravelle,Crv,S210
Aerospatiale Sn.601 Corvette,Ndc,S601
Aerospatiale/Alenia Atr 42-300,At4,At43
Aerospatiale/Alenia Atr 42-500,At5,At45
Aerospatiale/Alenia Atr 42-600,Atr,At46
Aerospatiale/Alenia Atr 72,At7,At72
Airbus A300,Ab3,A30B
Airbus A300-600,Ab6,A306
Airbus A300-600St Super Transporter / Beluga,Abb,A3St
Airbus A310,310,A310
Airbus A318,318,A318
Airbus A319,319,A319
Airbus A319Neo,31N,A19N
Airbus A320,320,A320
Airbus A320Neo,32N,A20N
Airbus A321,321,A321
Airbus A321Neo,32Q,A21N
Airbus A330,330,None
Airbus A330-200,332,A332
Airbus A330-300,333,A333
Airbus A330-700 Beluga Xl,None,A337
Airbus A330-800Neo,338,A338
Airbus A330-900Neo,339,A339
Airbus A340,340,None
Airbus A340-200,342,A342
Airbus A340-300,343,A343
Airbus A340-500,345,A345
Airbus A340-600,346,A346
Airbus A350,350,None
Airbus A350-1000,351,A35K
Airbus A350-900,359,A359
Airbus A380,380,None
Airbus A380-800,388,A388
Antonov An-12,Anf,An12
Antonov An-124 Ruslan,A4F,A124
Antonov An-140,A40,A140
Antonov An-148,A81,A148
Antonov An-158,A58,A158
Antonov An-225 Mriya,A25,A225
Antonov An-24,An4,An24
Antonov An-26,A26,An26
Antonov An-28,A28,An28
Antonov An-30,A30,An30
Antonov An-32,A32,An32
Antonov An-72,An7,An72
Avro Rj100,Ar1,Rj1H
Avro Rj70,Ar7,Rj70
Avro Rj85,Ar8,Rj85
Bae 146,146,None
Bae 146-100,141,B461
Bae 146-200,142,B462
Bae 146-300,143,B463
Beechcraft 1900,Beh,B190
Beechcraft Baron,None,Be58
Beechcraft Baron / 55 Baron,None,Be55
Bell 212,Bh2,B212
Boeing 707,703,B703
Boeing 717,717,B712
Boeing 720B,B72,B720
Boeing 727,727,None
Boeing 727-100,721,B721
Boeing 727-200,722,B722
Boeing 737,737,None
Boeing 737 Max 10,7Mj,None
Boeing 737 Max 7,7M7,B37M
Boeing 737 Max 8,7M8,B38M
Boeing 737 Max 9,7M9,B39M
Boeing 737-200,732,B732
Boeing 737-300,733,B733
Boeing 737-400,734,B734
Boeing 737-500,735,B735
Boeing 737-600,736,B736
