airline,source airport,destination airport,codeshare,stops,equipment
2B,Asf,Kzn,None,0,Cr2
2B,Asf,Mrv,None,0,Cr2
2B,Cek,Kzn,None,0,Cr2
2B,Cek,Ovb,None,0,Cr2
2B,Dme,Kzn,None,0,Cr2
2B,Dme,Nbc,None,0,Cr2
2B,Dme,Tgk,None,0,Cr2
2B,Dme,Uua,None,0,Cr2
2B,Ego,Kgd,None,0,Cr2
2B,Ego,Kzn,None,0,Cr2
2B,Gyd,Nbc,None,0,Cr2
2B,Kgd,Ego,None,0,Cr2
2B,Kzn,Aer,None,0,Cr2
2B,Kzn,Asf,None,0,Cr2
2B,Kzn,Cek,None,0,Cr2
2B,Kzn,Dme,None,0,Cr2
2B,Kzn,Ego,None,0,Cr2
2B,Kzn,Led,None,0,Cr2
2B,Kzn,Svx,None,0,Cr2
2B,Led,Kzn,None,0,Cr2
2B,Led,Nbc,None,0,Cr2
2B,Led,Uua,None,0,Cr2
2B,Mrv,Asf,None,0,Cr2
2B,Nbc,Dme,None,0,Cr2
2B,Nbc,Gyd,None,0,Cr2
2B,Nbc,Led,None,0,Cr2
2B,Nbc,Svx,None,0,Cr2
2B,Njc,Svx,None,0,Cr2
2B,Njc,Uua,None,0,Cr2
2B,Nux,Svx,None,0,Cr2
2B,Ovb,Cek,None,0,Cr2
2B,Ovb,Svx,None,0,Cr2
2B,Svx,Kzn,None,0,Cr2
2B,Svx,Nbc,None,0,Cr2
2B,Svx,Njc,None,0,Cr2
2B,Svx,Nux,None,0,Cr2
2B,Svx,Ovb,None,0,Cr2
2B,Tgk,Dme,None,0,Cr2
2B,Uua,Dme,None,0,Cr2
2B,Uua,Led,None,0,Cr2
2B,Uua,Njc,None,0,Cr2
2G,Btk,Ikt,None,0,A81
2G,Btk,Ovb,None,0,A81
2G,Cek,Ovb,None,0,A81
2G,Hta,Ikt,None,0,An4
2G,Ikt,Btk,None,0,A81
2G,Ikt,Hta,None,0,An4
2G,Ikt,Kck,None,0,An4
2G,Ikt,Odo,None,0,An4
2G,Ikt,Ovb,None,0,A81
2G,Ikt,Ukx,None,0,An4
2G,Ikt,Ulk,None,0,An4
2G,Ikt,Yks,None,0,A81
2G,Kck,Ikt,None,0,An4
