airline,source airport,destination airport,codeshare,stops,equipment
Ac,Ywg,Yvr,-1,0,E90 320
W6,Sof,Bcn,-1,0,320
Et,Kgl,Add,-1,0,73W 738
Lh,Mla,Dus,Y,0,319 320
Hv,Ein,Mad,-1,0,73W
Ke,Icn,Pnh,-1,0,73H 73J
Y4,Cuu,Mex,-1,0,319
Ab,Gwt,Zrh,-1,0,73G Dh4
Sa,Grj,Cpt,Y,0,Cr2 Er3 Ar8
4O,Mex,Cul,-1,0,320
G4,Far,Sfb,-1,0,320
Ua,Ord,Sjo,-1,0,738
U6,Nma,Goj,-1,0,320
4O,Pqm,Mex,-1,0,Su9
Sv,Ruh,Ist,-1,0,320
Qr,Bey,Doh,-1,0,320 321
Nk,Dfw,Bwi,-1,0,320
Td,Prg,Evn,-1,0,319
Aa,Phx,Cun,-1,0,757 320 321
Ab,Zrh,Bds,-1,0,320
Cx,Bkk,Sin,-1,0,772
Fr,Ork,Fao,-1,0,738
Lh,Fra,Man,-1,0,319 321 32A 320 733
Vy,Bcn,Nue,-1,0,320
Jd,Hak,Csx,-1,0,320
Fr,Psr,Crl,-1,0,738
Mu,Tsn,Cif,-1,0,320
8R,Sfn,Aep,-1,0,Sf3
Vn,Han,Bmv,-1,0,321
Km,Mla,Zrh,-1,0,319
Sa,Sin,Jnb,Y,0,772
Aa,Dfw,Tys,Y,0,Erd Er4 Crj
F9,Lbl,Den,Y,0,Be1
Aa,Sju,Vqs,-1,0,Dht
Ah,Bod,Alg,-1,0,736
Af,Fco,Sxb,Y,0,Er4 Cr7
A3,Rho,Her,-1,0,320
Fr,Blq,Bds,-1,0,738
Us,Clt,Ilm,-1,0,319 Crj Cr7
3U,Tna,Ckg,-1,0,321
Wn,Oak,Den,-1,0,73W
B6,Jfk,San,-1,0,320
G4,Sfb,Sgf,-1,0,M80
Ws,Yvr,Lih,-1,0,73H
G9,Shj,Hof,-1,0,320
Be,Edi,Man,-1,0,Dh4 E75
Ac,Yyz,Cmh,Y,0,Dh1
7H,Ome,Kts,Y,0,Pag
Ua,Pdx,Den,-1,0,739 738 752 320 73G
Ua,Duj,Cle,Y,0,Be1
Ac,Yul,Yyg,Y,0,Dh4
Ua,Fat,Las,Y,0,Em2
Ga,Cgk,Sub,-1,0,738 332
Qr,Los,Doh,-1,0,333 332
Zh,Ctu,Wuh,-1,0,320
Eg,Kqt,Dmb,-1,0,320
Fi,Trd,Kef,-1,0,75W
Wf,Vds,Tos,-1,0,Dh1 Dh2
La,Apo,Eoh,Y,0,Dh2
Wn,Msy,Bwi,-1,0,73W
Kl,Grb,Atl,Y,0,Cr9 Cr7
Sy,Dca,Lan,-1,0,73G
Mu,Het,Cif,-1,0,320
Ca,Dlc,Hij,-1,0,738
Nk,Lax,Dtw,-1,0,320
Vr,Cdg,Vxe,-1,0,752
Ca,Kwe,Szx,-1,0,321
To,Cta,Lgw,-1,0,75W
Ua,Slc,Ord,Y,0,E70 Cr7
S2,Del,Rpr,Y,0,73W
Aa,Fll,Dfw,-1,0,738
Kk,Ist,Ecn,-1,0,320
Cx,Hkg,Can,-1,0,333 321 320
Ab,Gdn,Txl,-1,0,Dh4
Cz,Syx,Yty,-1,0,320
Y4,Mex,Mco,-1,0,319 320
Ig,Nap,Kbp,-1,0,737
Os,Vie,Cdg,Y,0,321 320 318
As,Isp,Bos,-1,0,Sf3
Cg,Pom,Tfi,-1,0,Dh8
Tl,Kta,Phe,-1,0,E70
Us,Dfw,Msy,Y,0,M83 M80
Qr,Iah,Doh,-1,0,77L
Av,Ctg,Mia,-1,0,318 320
Nt,Lpa,Rak,Y,0,Cr9
Vy,Pmi,Agp,-1,0,320
Vn,Sgn,Hph,-1,0,321
Dn,Coo,Lbv,-1,0,320
Aa,Xna,Clt,Y,0,Cr7 Crj
Hf,Acc,Coo,-1,0,E70 319
Et,Fra,Mrs,Y,0,320 32A 319
Mh,Sdk,Kul,-1,0,738
Aa,Lhr,Sfo,Y,0,744
Kl,Nbo,Hre,Y,0,767
Ls,Ema,Fnc,-1,0,733
Hz,Khv,Hrb,-1,0,319 737
Qf,Nkg,Pek,-1,0,332
Av,Bog,Ewr,-1,0,73G
Il,Pnk,Ktg,-1,0,At7
Ns,Sjw,Hgh,-1,0,E90 73G
Lh,Yvr,Muc,-1,0,333
Us,Clt,Smf,-1,0,321
Ac,Yyz,Yvr,-1,0,321 320 77W 763 77L 319 333
X3,Muc,Bvc,-1,0,73H
Sv,Bhh,Ruh,-1,0,320 321
Bc,Koj,Ukb,-1,0,737
Aa,Clt,Rdu,-1,0,320 737 319 321 E90
3U,Ckg,Hak,-1,0,319
Nf,Swj,Vli,-1,0,Dht
Bm,Muc,Brs,-1,0,Er4
Kl,Bjm,Kgl,Y,0,Emj E70
Ib,Bcn,Jfk,Y,0,763
Tm,Apl,Jnb,-1,0,Er4
Jl,Pvg,Koj,Y,0,319
Af,Atl,Day,Y,0,M88
Pr,Hnl,Mnl,-1,0,343
Gf,Bah,Del,-1,0,321
Gl,Umd,Ike,-1,0,Bh2
Wn,Ind,Bwi,-1,0,733 73C 73W
O6,Bsb,Cnf,-1,0,100
Us,Gso,Clt,-1,0,Crj
Vy,Ory,Bcn,-1,0,320 319
Cz,Xmn,Wuh,-1,0,73G 738
Hy,Ugc,Dme,-1,0,763 320
Lh,Rix,Fra,-1,0,321 320
Gs,Xiy,Dsn,-1,0,E90 Erj
Us,Elh,Mia,-1,0,Er4
Ca,Can,Ist,-1,0,330 343
Xy,Lxr,Jed,-1,0,320
Ib,Bes,Bcn,Y,0,320
Ua,Sfo,Yyc,Y,0,Cr7
Vy,Pmi,Dme,-1,0,320
Lg,Fra,Lux,-1,0,Er4 Dh4
Sk,Iad,Cph,-1,0,343
K3,Ktn,Kcc,-1,0,Dhp
Av,Bog,Puj,-1,0,320 319
To,Pmi,Lgw,-1,0,73H 75W
Aa,Roc,Phl,-1,0,Dh3
S7,Ikt,Ovb,-1,0,320 738
Ei,Dub,Abz,Y,0,At7
Ca,Ynt,Icn,-1,0,321
Ux,Bio,Ibz,-1,0,738
Ay,Cdg,Hel,-1,0,321 320 32B 319
Jd,Ctu,Syx,-1,0,320
Hg,Vie,Chq,-1,0,320
Nh,Fuk,Tsj,Y,0,735 Dh8
La,Scl,Mvd,-1,0,320 763
Zh,Syx,Wnz,-1,0,320
Ib,Man,Lhr,Y,0,319 320 321
Ab,Dus,Hel,Y,0,E90
Cz,Xiy,Urc,-1,0,738 320 E90 73G 752
3U,Nkg,Ckg,-1,0,319
Tp,Lis,Tls,Y,0,100 Er4
Ib,Bcn,Rns,Y,0,320
Wn,Sat,Lax,-1,0,73H 73W
Tom,Ncl,Pmi,-1,0,73H
Fr,Cag,Bri,-1,0,738
Wn,Stl,Lga,-1,0,73W
Ua,Isn,Den,Y,0,Erj
Ai,Bom,Muc,Y,0,333
Ls,Man,Psa,-1,0,733
A4,Tdd,Cbb,-1,0,Swm
Gs,Tsn,Ynt,-1,0,Erj E90
Sa,Jnb,Jfk,-1,0,346
Pc,Saw,Ala,-1,0,738
Ua,Uvf,Ewr,-1,0,739
Et,Dir,Jib,-1,0,73W Dh8
Um,Hre,Jnb,-1,0,762
Hu,Kmg,Pek,-1,0,738
Cm,Gdl,Pty,-1,0,E90
Ak,Bki,Pen,-1,0,320
Ib,Agp,Vlc,Y,0,At7
Fr,Ldy,Lpl,-1,0,738
7R,Csy,Dme,-1,0,Cr2
Ws,Ywg,Yul,-1,0,73W
8L,Ljg,Cgo,-1,0,319 321
4W,Cik,Fyu,-1,0,Pa2
Mf,Xmn,Khn,-1,0,737
Lo,Ist,Waw,-1,0,734 E95
Bk,Dlc,Tsn,-1,0,738
Bi,Bwn,Kul,-1,0,319 320
Ke,Icn,Sgn,-1,0,73H 321 333 744
Zi,Orn,Cdg,-1,0,319
Aa,Mel,Lax,Y,0,380
Mu,Pek,Lhw,-1,0,321 320
F9,Den,Aia,Y,0,Be1
Ca,Jdz,Ctu,Y,0,738
Ab,Mxp,Dus,-1,0,73G 738 320
8E,Ome,Eli,-1,0,Pa2
Ca,Wnz,Kmg,-1,0,738
Qg,Sub,Dps,-1,0,320
Fr,Ryg,Wmi,-1,0,738
Ah,Alg,Tgr,-1,0,Atr
Sq,Jnb,Sin,-1,0,772
Dl,Dtw,Pek,-1,0,777
Sz,Ikt,Dyu,-1,0,737
4U,Dus,Mpl,-1,0,Crj
7R,Voz,Krr,-1,0,Cr2
Qf,Nan,Syd,-1,0,73H
7P,Ghe,Pac,-1,0,Bni
8V,Fyu,Vee,-1,0,Cnc
Tv,Sha,Ctu,-1,0,319
Or,Hog,Cun,-1,0,763
Cz,Cgq,Nrt,-1,0,321
3F,Mtm,Ktn,-1,0,Dhp
Ay,Mia,Mad,-1,0,333 763 346
La,Mex,Lim,-1,0,763
Ge,Xmn,Khh,-1,0,320
Ka,Hkg,Tsn,-1,0,738
Ua,Lax,Pvg,-1,0,788
Q6,Bql,Isa,-1,0,Dh1
Mu,Urc,Khg,-1,0,E90 73G 320
V0,Geo,Pzo,-1,0,E90
Nz,Cns,Akl,-1,0,320
Wt,Zsj,Ypm,-1,0,Pl2
Wn,Slc,Oak,-1,0,73W 73C 733
G4,Las,Rfd,-1,0,M80
Qu,Iev,Vko,-1,0,735
Ib,Vlc,Svq,Y,0,Crk Cr2 Cr9 At7
Aa,Abq,Dfw,-1,0,M83 M80
G4,Pie,Mdt,-1,0,M80
U2,Tls,Lil,-1,0,319
Ku,Cai,Kwi,-1,0,777 340 320 Ab6
Ef,Coq,Uln,-1,0,Dh4
Cg,Pnp,Tfi,-1,0,Dh8
Lj,Cnx,Icn,-1,0,738
6E,Blr,Hyd,-1,0,320
Dl,Bos,Nas,Y,0,E75
Ro,Otp,Amm,-1,0,318
Dl,Lax,Mia,-1,0,738
5J,Cgy,Bcd,-1,0,Atr
2P,Zam,Mnl,-1,0,320
7G,Hnd,Fuk,-1,0,320
Aa,Ord,Yyc,-1,0,737
9C,Pvg,Syx,-1,0,320
Sq,Pvg,Sin,-1,0,388 772 77W
As,Ord,Anc,-1,0,73H
P2,Jro,Wil,-1,0,Dht
Ux,Mad,Mex,-1,0,777
4O,Gdl,Mty,-1,0,320
Us,Fco,Phl,-1,0,333
Oz,Sin,Icn,-1,0,333
Ar,Aep,Sfn,Y,0,E90
Wn,Mdw,San,-1,0,738 73W 73H
Pr,Lhr,Mnl,-1,0,773
